address,full_address,latitude,longitude,planning_area,region,Nearest_MRT_Station,latitude_mrt,longitude_mrt,Distance_to_Nearest_MRT_km,Walking_Time_to_Nearest_MRT_min,price,unit_type,room_type,room_size_sqft,status,updated_date,link
720 Woodlands Avenue 6,"720, Woodlands Avenue 6, Woodlands, Northwest, 730720, Singapore",1.4423269,103.80056960417782,Woodlands,North,ADMIRALTY MRT STATION,1.440585001,103.800988,0.1991959092259805,2.3903509107117658,850.0,HDB,Master room,193.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/720-woodlands-avenue-6-hdb-SkKaKZtphZyhT5gBkcFXsP
20 Woodlands Cres,"20, Woodlands Crescent, Woodlands, Northwest, 730784, Singapore",1.44489295,103.80614397615841,Woodlands,North,ADMIRALTY MRT STATION,1.440585001,103.800988,0.746959005451664,8.963508065419969,1300.0,Condo,Common room,150.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/northoaks-condo-8mV9MSNauvwss8KuuKW4Pa
487 Yio Chu Kang Rd,"487, Yio Chu Kang Road, Ang Mo Kio, Central, 787082, Singapore",1.3861687,103.84028343533808,Ang Mo Kio,North-East,LENTOR MRT STATION,1.385061947,103.8364695,0.4414662571531247,5.2975950858374965,1600.0,Condo,Common room,100.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/castle-green-condo-ZDeyxxBSu9eye2gYa6AFQL
277 Yishun Street 22,"Yishun Street 22, Yishun, Northwest, 760264, Singapore",1.4364221,103.8389742,Yishun,North,YISHUN MRT STATION,1.429443081,103.835005,0.8926910078579241,10.712292094295089,1000.0,HDB,Common room,150.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/277-yishun-street-22-hdb-3F2MkXvpNmFsMCDrALTTkm
2 Flora Dr,"Carrisa Park, 2, Flora Drive, Changi, Southeast, 506852, Singapore",1.35915025,103.96366970227987,Changi,East,TAMPINES EAST MRT STATION,1.356191483,103.9546345,1.056898001270781,12.682776015249372,1200.0,Condo,Common room,150.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/carissa-park-condominium-condo-CcSfVqUTjpjwZcY9YgRja7
90 Punggol Dr,"River Parc, 90, Punggol Drive, Punggol Central, Punggol, Northeast, 820090, Singapore",1.39830805,103.9173783262608,Punggol,North-East,KADALOOR LRT STATION,1.399584853,103.9164867,0.17314836977812803,2.0777804373375366,1150.0,Condo,Common room,300.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/riverparc-residence-condo-Gtak3Ufhjk2WXsNzuyMwSc
273A Jurong West Avenue 3,"273A, Jurong West Avenue 3, Wenya, Jurong West, Southwest, 641273, Singapore",1.35143835,103.70351903893206,Jurong West,West,BOON LAY MRT STATION,1.338604055,103.7060646,1.4548930446839003,17.458716536206804,900.0,HDB,Common room,150.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/273a-jurong-west-avenue-3-hdb-9Uf9bjNjqKYss2vPZDzMrL
407 Pasir Ris Drive 6,"407, Pasir Ris Drive 6, Pasir Ris, Northeast, 510407, Singapore",1.3736403,103.95453454686545,Pasir Ris,East,PASIR RIS MRT STATION,1.372983774,103.9492681,0.5899680267339016,7.079616320806819,1100.0,HDB,Common room,100.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/407-pasir-ris-drive-6-hdb-58BUVmhShA6xy9gAGV2vMQ
515 Choa Chu Kang Street 51,"Choa Chu Kang Street 51, Choa Chu Kang, Southwest, 689333, Singapore",1.3907414,103.742119,Choa Chu Kang,West,CHOA CHU KANG MRT STATION,1.385361693,103.7443409,0.6471811262112588,7.766173514535105,850.0,HDB,Common room,120.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/515-choa-chu-kang-street-51-hdb-g3bJrzUreLdeU35AGbBp5n
312 Woodlands Street 31,"312, Woodlands Street 31, Woodlands, Northwest, 730312, Singapore",1.4306985,103.77565629761565,Woodlands,North,MARSILING MRT STATION,1.432514421,103.7740715,0.26796788925445053,3.215614671053406,1500.0,HDB,Master room,200.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/312-woodlands-street-31-hdb-6az6gUrMimy5NbrkdvMy3Y
16 Simei St 1,"Simei Street 1, Simei, Southeast, 520119, Singapore",1.3434547,103.951988,Tampines,East,SIMEI MRT STATION,1.343202895,103.9533717,0.15634572878357006,1.8761487454028405,1790.0,Condo,Master room,250.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/melville-park-condo-2Uud3EpkWWvwuWhMuASEWx
1 Lorong 27 Geylang,"Lorong 27 Geylang, Geylang, Southeast, 388199, Singapore",1.3143479,103.8837434,Geylang,Central,ALJUNIED MRT STATION,1.316432612,103.882906,0.24980264720067732,2.997631766408128,1500.0,Condo,Common room,120.0,FULLY FURNISHED,2023-09-24,https://99.co/singapore/rooms/property/the-centren-condo-VAGeRFAi3WCC7Ctm4uZtCJ
