address,nearest_mrt,time_to_nearest_mrt,price,unit_type,room_type,room_size,status,updated_time,link,updated_date
124 Marsiling Rise,Woodlands North, 8 mins,850.0,HDB,Common room,130.0,FULLY FURNISHED,2023-09-25 13:57:29.325118,https://99.co/singapore/rooms/property/124-marsiling-rise-hdb-NptTW6gVbX6CaH9LqmbLPX,2023-09-25
7 Siglap Rd,,,2000.0,Condo,Master room,300.0,FULLY FURNISHED,2023-09-25 13:57:29.325120,https://99.co/singapore/rooms/property/mandarin-gardens-condo-DxGnfBgG4Yarqarc54ck95,2023-09-25
757 Yishun Street 72,Yishun, 4 mins,900.0,HDB,Common room,100.0,FULLY FURNISHED,2023-09-25 13:57:29.325123,https://99.co/singapore/rooms/property/757-yishun-street-72-hdb-7RE5eyfsj2XjcQW93kGR9u,2023-09-25
694 Jurong West Central 1,,,900.0,HDB,Common room,100.0,FULLY FURNISHED,2023-09-25 13:57:29.325125,https://99.co/singapore/rooms/property/694-jurong-west-central-1-hdb-WGqmD4KUQ5x7268aSK8Prq,2023-09-25
403 Jurong West Street 42,,,600.0,HDB,Common room,100.0,FULLY FURNISHED,2023-09-25 13:57:29.325127,https://99.co/singapore/rooms/property/403-jurong-west-street-42-hdb-7AyyqKM5GdFNSQybM2fuAB,2023-09-25
334 Hougang Avenue 5,,,850.0,HDB,Common room,100.0,FULLY FURNISHED,2023-09-25 13:57:29.325129,https://99.co/singapore/rooms/property/334-hougang-avenue-5-hdb-nTkRznrNvY5fpLTEpVkJ2y,2023-09-25
113 Depot Road,,,1100.0,HDB,Common room,300.0,FULLY FURNISHED,2023-09-25 13:57:29.325132,https://99.co/singapore/rooms/property/113-depot-road-hdb-fUMjqJbyzob8Vr63uFniog,2023-09-25
525 Woodlands Drive 14,,,880.0,HDB,Common room,142.0,FULLY FURNISHED,2023-09-25 13:57:29.325134,https://99.co/singapore/rooms/property/525-woodlands-drive-14-hdb-6yeHxiLByuavTDZsH4BoQd,2023-09-25
219 Bukit Batok Street 21,,,950.0,HDB,Common room,721.0,FULLY FURNISHED,2023-09-25 13:57:29.325136,https://99.co/singapore/rooms/property/219-bukit-batok-street-21-hdb-nCmK2TKBqZrWwdb9iSUQtp,2023-09-25
420 Canberra Road,Sembawang, 5 mins,800.0,HDB,Common room,110.0,FULLY FURNISHED,2023-09-25 13:57:29.325138,https://99.co/singapore/rooms/property/420-canberra-road-hdb-BSWRtUkKRchSWcNGEhUU85,2023-09-25
124 Marsiling Rise,Woodlands North, 8 mins,850.0,HDB,Common room,130.0,FULLY FURNISHED,2023-09-25 13:57:29.325140,https://99.co/singapore/rooms/property/124-marsiling-rise-hdb-NptTW6gVbX6CaH9LqmbLPX,2023-09-25
7 Siglap Rd,,,2000.0,Condo,Master room,300.0,FULLY FURNISHED,2023-09-25 13:57:29.325143,https://99.co/singapore/rooms/property/mandarin-gardens-condo-DxGnfBgG4Yarqarc54ck95,2023-09-25
757 Yishun Street 72,Yishun, 4 mins,900.0,HDB,Common room,100.0,FULLY FURNISHED,2023-09-25 13:57:29.325145,https://99.co/singapore/rooms/property/757-yishun-street-72-hdb-7RE5eyfsj2XjcQW93kGR9u,2023-09-25
694 Jurong West Central 1,,,900.0,HDB,Common room,100.0,FULLY FURNISHED,2023-09-25 13:57:29.325147,https://99.co/singapore/rooms/property/694-jurong-west-central-1-hdb-WGqmD4KUQ5x7268aSK8Prq,2023-09-25
403 Jurong West Street 42,,,600.0,HDB,Common room,100.0,FULLY FURNISHED,2023-09-25 13:57:29.325149,https://99.co/singapore/rooms/property/403-jurong-west-street-42-hdb-7AyyqKM5GdFNSQybM2fuAB,2023-09-25
334 Hougang Avenue 5,,,850.0,HDB,Common room,100.0,FULLY FURNISHED,2023-09-25 13:57:29.325152,https://99.co/singapore/rooms/property/334-hougang-avenue-5-hdb-nTkRznrNvY5fpLTEpVkJ2y,2023-09-25
525 Woodlands Drive 14,,,880.0,HDB,Common room,142.0,FULLY FURNISHED,2023-09-25 13:57:29.325154,https://99.co/singapore/rooms/property/525-woodlands-drive-14-hdb-6yeHxiLByuavTDZsH4BoQd,2023-09-25
219 Bukit Batok Street 21,,,950.0,HDB,Common room,721.0,FULLY FURNISHED,2023-09-25 13:57:29.325156,https://99.co/singapore/rooms/property/219-bukit-batok-street-21-hdb-nCmK2TKBqZrWwdb9iSUQtp,2023-09-25
764 Choa Chu Kang North 5,,,900.0,HDB,Common room,120.0,FULLY FURNISHED,2023-09-25 13:57:29.325158,https://99.co/singapore/rooms/property/764-choa-chu-kang-north-5-hdb-i6FCMYWuhxPVJ7pQij5c69,2023-09-25
121 Tg Rhu Rd,Tanjong Rhu, 1 mins,2000.0,Condo,Common room,100.0,FULLY FURNISHED,2023-09-25 13:57:29.325161,https://99.co/singapore/rooms/property/tanjong-ria-condominium-condo-cZHvsWXkaM4WngiNYyPrbq,2023-09-25
110 Bukit Purmei Road,Keppel, 7 mins,1200.0,HDB,Common room,120.0,FULLY FURNISHED,2023-09-25 13:57:29.325163,https://99.co/singapore/rooms/property/110-bukit-purmei-road-hdb-ACR9UfR2fuybCyaKHegrXV,2023-09-25
28 Cassia Crescent,Mountbatten, 4 mins,1250.0,HDB,Common room,180.0,FULLY FURNISHED,2023-09-25 13:57:29.325165,https://99.co/singapore/rooms/property/28-cassia-crescent-hdb-ioHyon7S2WmnxzE3gATjrE,2023-09-25
68 Upp Serangoon View,,,1980.0,Condo,Master room,110.0,FULLY FURNISHED,2023-09-25 13:57:29.325167,https://99.co/singapore/rooms/property/kingsford-waterbay-condo-LF8hup2K4QLsQsqWvUpDVC,2023-09-25
145 Lorong 2 Toa Payoh,Toa Payoh, 4 mins,1300.0,HDB,Common room,220.0,FULLY FURNISHED,2023-09-25 13:57:29.325170,https://99.co/singapore/rooms/property/145-lorong-2-toa-payoh-hdb-SiKRP9Y9VCoqX75vPncPYo,2023-09-25
350 Yishun Avenue 11,,,900.0,HDB,Common room,110.0,FULLY FURNISHED,2023-09-25 13:57:29.325172,https://99.co/singapore/rooms/property/350-yishun-avenue-11-hdb-SxwFD67Bjz7ZSz5EexnRXJ,2023-09-25
17 Bidadari Pk Dr,Woodleigh, 2 mins,2600.0,Condo,Master room,250.0,FULLY FURNISHED,2023-09-25 13:57:29.325174,https://99.co/singapore/rooms/property/the-woodleigh-residences-the-woodleigh-mall-condo-GNATMUWGESeHLKWeiM8f7R,2023-09-25
